date,act_symbol,open,high,low,close,volume
2011-01-03,SPY,126.71,127.60,125.70,127.05,138725191
2011-01-04,SPY,127.33,127.37,126.19,126.98,137409675
2011-01-05,SPY,126.58,127.73,126.46,127.64,133975250
2011-01-06,SPY,127.69,127.83,127.01,127.39,122518970
2011-01-07,SPY,127.56,127.77,126.15,127.14,156034587
2011-01-10,SPY,126.58,127.16,126.20,126.98,122401644
2011-01-11,SPY,127.44,127.74,126.95,127.43,110286968
2011-01-12,SPY,128.21,128.72,127.46,128.58,107929135
2011-01-13,SPY,128.63,128.69,128.05,128.37,129229132
2011-01-14,SPY,128.19,129.33,128.10,129.30,117677857
2011-01-18,SPY,129.18,129.64,129.03,129.52,114401252
2011-01-19,SPY,129.41,129.54,127.91,128.25,151958324
2011-01-20,SPY,127.96,128.40,127.13,128.08,175745603
2011-01-21,SPY,128.88,129.17,128.23,128.37,151462880
2011-01-24,SPY,128.29,129.25,128.26,129.10,113715455
2011-01-25,SPY,128.76,129.28,128.11,129.17,167552153
2011-01-26,SPY,129.49,130.05,129.23,129.67,141281439
2011-01-27,SPY,129.70,130.21,129.47,129.99,123302633
2011-01-28,SPY,130.14,130.35,127.51,127.72,295637223
2011-01-31,SPY,128.07,128.78,127.75,128.68,149249105
2011-02-01,SPY,129.46,130.97,129.38,130.74,167194214
2011-02-02,SPY,130.40,130.84,130.33,130.49,118323602
2011-02-03,SPY,130.26,130.98,129.57,130.78,145886611
2011-02-04,SPY,130.83,131.20,130.23,131.15,134634710
2011-02-07,SPY,131.44,132.40,131.43,131.97,112439030
2011-02-08,SPY,132.09,132.64,131.73,132.57,99072704
2011-02-09,SPY,132.21,132.63,131.61,132.27,146436606
2011-02-10,SPY,131.60,132.47,131.30,132.32,162708478
2011-02-11,SPY,131.80,133.28,131.77,133.11,137716436
2011-02-14,SPY,133.03,133.54,132.88,133.43,101691100
2011-02-15,SPY,133.02,133.22,132.32,133.01,119575387
2011-02-16,SPY,133.46,134.01,133.19,133.85,130183448
2011-02-17,SPY,133.46,134.43,133.34,134.25,109810420
2011-02-18,SPY,134.37,134.69,134.06,134.53,130002330
2011-02-22,SPY,133.12,134.56,131.47,131.83,233116375
2011-02-23,SPY,131.75,132.07,130.21,131.02,227610100
2011-02-24,SPY,130.88,131.44,129.70,130.93,260467041
2011-02-25,SPY,131.48,132.41,131.40,132.33,141693837
2011-02-28,SPY,132.82,133.32,132.38,133.15,141600773
2011-03-01,SPY,133.57,133.69,130.89,130.93,258582270
2011-03-02,SPY,130.75,131.82,130.35,131.21,200277834
2011-03-03,SPY,132.40,133.62,132.39,133.47,176485166
2011-03-04,SPY,133.37,133.63,131.60,132.47,277371473
2011-03-07,SPY,132.86,133.16,130.74,131.43,216888931
2011-03-08,SPY,131.64,133.00,131.07,132.58,174706407
2011-03-09,SPY,132.32,132.80,131.60,132.39,153903463
2011-03-10,SPY,131.00,131.18,129.81,129.94,301665703
2011-03-11,SPY,129.52,131.31,129.49,130.84,225758504
2011-03-14,SPY,129.99,130.48,129.06,130.05,235607778
2011-03-15,SPY,126.59,129.33,126.50,128.56,359794831
2011-03-16,SPY,128.15,128.57,125.28,126.18,469160630
2011-03-17,SPY,128.00,128.39,127.10,127.85,254521638
2011-03-18,SPY,128.84,128.88,127.51,127.76,230654390
2011-03-21,SPY,129.35,130.01,129.20,129.74,154065282
2011-03-22,SPY,129.72,129.89,129.17,129.29,129743412
2011-03-23,SPY,128.93,130.00,128.32,129.66,148648724
2011-03-24,SPY,130.40,131.09,129.67,130.90,159238287
2011-03-25,SPY,131.24,131.87,130.89,131.30,155769995
2011-03-28,SPY,131.58,131.92,130.94,130.98,109839083
2011-03-29,SPY,130.87,131.90,130.44,131.86,129844555
2011-03-30,SPY,132.55,133.16,132.36,132.77,135895860
2011-03-31,SPY,132.60,132.96,132.45,132.59,132756530
2011-04-01,SPY,133.41,133.77,132.83,133.15,154038917
2011-04-04,SPY,133.43,133.67,132.88,133.26,100773342
2011-04-05,SPY,133.00,133.83,132.94,133.24,121083840
2011-04-06,SPY,133.88,134.00,133.12,133.66,120453617
2011-04-07,SPY,133.42,133.98,132.66,133.32,170973204
2011-04-08,SPY,133.91,133.99,132.31,132.86,148014798
2011-04-11,SPY,133.00,133.45,132.14,132.46,121518486
2011-04-12,SPY,131.72,131.98,130.99,131.47,161480682
2011-04-13,SPY,132.08,132.18,130.96,131.46,162172967
2011-04-14,SPY,130.70,131.76,130.27,131.56,161271236
2011-04-15,SPY,131.80,132.37,131.41,132.04,170146610
2011-04-18,SPY,130.59,132.03,129.51,130.56,210908208
2011-04-19,SPY,130.76,131.35,130.44,131.31,124321889
2011-04-20,SPY,132.88,133.39,132.79,133.10,156473001
2011-04-21,SPY,133.79,133.84,133.10,133.78,136214509
2011-04-22,SPY,133.79,133.84,133.10,133.78,136214509
2011-04-25,SPY,133.68,133.86,133.20,133.64,65760002
2011-04-26,SPY,134.05,135.06,133.91,134.79,146658425
2011-04-27,SPY,135.05,135.87,134.50,135.67,143104801
2011-04-28,SPY,135.43,136.29,135.41,136.11,124865764
2011-04-29,SPY,136.16,136.57,135.98,136.43,115094350
2011-05-02,SPY,137.07,137.18,135.95,136.22,126310033
2011-05-03,SPY,135.96,136.19,135.05,135.73,138445808
2011-05-04,SPY,135.67,135.73,134.23,134.83,182821163
2011-05-05,SPY,135.67,135.73,134.23,134.83,182821163
2011-05-06,SPY,134.94,135.63,133.22,134.20,222951264
2011-05-09,SPY,134.19,135.11,133.98,134.72,114134435
2011-05-10,SPY,135.17,136.11,135.00,135.87,114886994
2011-05-11,SPY,135.67,135.69,133.82,134.44,193745610
2011-05-12,SPY,134.08,135.36,133.39,135.08,171648128
2011-05-13,SPY,135.15,135.34,133.56,134.04,157499081
2011-05-16,SPY,133.56,134.61,132.97,133.19,141770642
2011-05-17,SPY,132.69,133.35,132.12,133.17,192852310
2011-05-18,SPY,133.24,134.50,132.95,134.36,135228138
2011-05-19,SPY,134.80,135.03,133.94,134.68,119584847
2011-05-20,SPY,134.33,134.68,133.36,133.61,182638302
2011-05-23,SPY,131.98,133.65,131.59,132.06,168799987
2011-05-24,SPY,132.44,132.73,131.70,131.95,147200295
2011-05-25,SPY,131.42,132.94,131.38,132.39,151102185
2011-05-26,SPY,132.03,133.24,131.78,133.00,164984594
2011-05-27,SPY,133.37,133.87,132.96,133.51,120921858
2011-05-31,SPY,134.77,134.92,133.84,134.90,164731167
2011-06-01,SPY,134.51,134.92,131.76,131.87,233094277
2011-06-02,SPY,131.96,132.24,130.96,131.73,200466729
2011-06-03,SPY,130.15,131.42,130.08,130.42,234690124
2011-06-06,SPY,130.09,130.36,128.87,129.05,179951146
2011-06-07,SPY,129.70,130.07,128.85,128.96,161805954
2011-06-08,SPY,128.76,129.19,128.18,128.42,198696304
2011-06-09,SPY,128.77,129.93,128.46,129.40,160964350
2011-06-10,SPY,128.85,128.93,127.26,127.60,238629307
2011-06-13,SPY,127.89,128.24,127.05,127.70,207599751
2011-06-14,SPY,128.87,129.77,128.82,129.32,160570345
2011-06-15,SPY,128.24,129.30,126.68,127.02,300957945
2011-06-16,SPY,127.06,127.97,126.32,127.30,308038426
2011-06-17,SPY,127.93,127.94,126.62,127.05,234996065
2011-06-20,SPY,126.62,127.97,126.58,127.70,159478911
2011-06-21,SPY,128.36,129.70,127.75,129.45,193157234
2011-06-22,SPY,129.05,129.81,128.59,128.67,176886453
2011-06-23,SPY,127.16,128.64,126.19,128.30,334286827
2011-06-24,SPY,128.27,128.37,126.62,126.81,226129358
2011-06-27,SPY,126.89,128.43,126.64,127.94,168908174
2011-06-28,SPY,128.45,129.63,128.27,129.61,165556257
2011-06-29,SPY,130.20,130.93,129.63,130.72,244295405
2011-06-30,SPY,131.14,132.18,130.71,131.97,223496512
2011-07-01,SPY,132.09,134.10,131.78,133.92,202385636
2011-07-05,SPY,133.78,134.08,133.39,133.81,165935968
2011-07-06,SPY,133.49,134.14,133.11,133.97,143332679
2011-07-07,SPY,135.16,135.70,134.88,135.36,170464164
2011-07-08,SPY,133.83,135.36,133.39,134.40,194171492
2011-07-11,SPY,132.75,133.18,131.66,131.97,195918544
2011-07-12,SPY,131.69,132.78,131.36,131.40,214675640
2011-07-13,SPY,132.09,133.22,131.52,131.84,204062545
2011-07-14,SPY,132.17,132.78,130.68,130.93,226111747
2011-07-15,SPY,131.66,131.87,130.77,131.69,220124620
2011-07-18,SPY,131.08,131.28,129.63,130.61,196872076
2011-07-19,SPY,131.34,132.89,131.31,132.73,166554896
2011-07-20,SPY,133.07,133.15,132.42,132.65,137145310
2011-07-21,SPY,133.40,134.82,132.67,134.49,245270290
2011-07-22,SPY,134.52,134.72,133.76,134.58,126019327
2011-07-25,SPY,133.30,134.49,133.16,133.83,136653703
2011-07-26,SPY,133.74,133.96,133.03,133.33,131278113
2011-07-27,SPY,132.59,132.63,130.43,130.60,249020022
2011-07-28,SPY,130.60,131.77,130.01,130.22,207939900
2011-07-29,SPY,128.91,130.55,127.97,129.33,307042469
2011-08-01,SPY,130.84,130.96,127.53,128.78,325790824
2011-08-02,SPY,127.81,128.50,125.49,125.49,346653757
2011-08-03,SPY,125.66,126.31,123.53,126.17,371029415
2011-08-04,SPY,124.42,124.62,120.06,120.26,520721783
2011-08-05,SPY,121.76,122.07,116.86,120.08,655561584
2011-08-08,SPY,116.91,120.12,112.02,112.26,702263849
2011-08-09,SPY,114.07,117.64,110.27,117.48,717828611
2011-08-10,SPY,115.26,116.28,111.95,112.29,662607378
2011-08-11,SPY,113.26,118.92,112.32,117.33,487979673
2011-08-12,SPY,118.40,119.22,117.28,118.12,313731600
2011-08-15,SPY,119.19,120.74,119.00,120.62,258810580
2011-08-16,SPY,119.47,120.69,118.31,119.59,294095199
2011-08-17,SPY,120.25,121.20,118.72,119.67,238201070
2011-08-18,SPY,116.50,119.71,113.39,114.51,512956218
2011-08-19,SPY,112.96,115.88,112.50,112.64,428281241
2011-08-22,SPY,115.17,115.23,112.41,112.73,275090591
2011-08-23,SPY,113.15,116.57,112.58,116.44,331136599
2011-08-24,SPY,116.19,118.24,115.92,118.08,246869675
2011-08-25,SPY,118.73,119.40,115.87,116.28,312365337
2011-08-26,SPY,115.69,118.51,113.85,117.97,314495833
2011-08-29,SPY,119.56,121.43,118.06,121.36,190977185
2011-08-30,SPY,120.83,122.43,119.26,121.68,241315666
2011-08-31,SPY,122.46,123.51,121.30,122.22,301828304
2011-09-01,SPY,122.29,123.40,120.78,120.94,254585844
2011-09-02,SPY,118.42,120.87,117.43,117.85,255517200
2011-09-06,SPY,114.39,117.16,114.38,116.99,285142737
2011-09-07,SPY,118.76,120.34,118.36,120.29,209803113
2011-09-08,SPY,119.57,120.94,118.77,119.04,250568194
2011-09-09,SPY,117.68,119.06,115.28,115.92,380195064
2011-09-12,SPY,114.47,116.76,114.05,116.67,305793438
2011-09-13,SPY,117.05,118.18,116.22,117.74,272514654
2011-09-14,SPY,118.34,120.80,116.72,119.37,319389428
2011-09-15,SPY,120.65,121.47,119.40,121.43,326777105
2011-09-16,SPY,121.29,121.97,120.32,121.52,284528213
2011-09-19,SPY,119.53,120.93,118.72,120.31,241516921
2011-09-20,SPY,120.82,121.99,120.01,120.17,218932124
2011-09-21,SPY,120.23,120.60,116.44,116.63,316251215
2011-09-22,SPY,113.25,114.21,111.30,112.86,513920097
2011-09-23,SPY,112.11,114.16,112.02,113.54,307242488
2011-09-26,SPY,114.61,116.40,112.98,116.24,260673617
2011-09-27,SPY,118.53,119.56,116.84,117.54,311753819
2011-09-28,SPY,117.78,118.49,114.97,115.15,286696748
2011-09-29,SPY,117.05,117.63,113.93,116.05,298108816
2011-09-30,SPY,114.45,115.45,113.07,113.15,288685511
2011-10-03,SPY,112.49,113.95,109.81,109.93,365136777
2011-10-04,SPY,108.35,112.58,107.43,112.34,459177456
2011-10-05,SPY,112.62,114.72,111.58,114.42,284107995
2011-10-06,SPY,114.36,116.66,113.51,116.49,257800742
2011-10-07,SPY,117.17,117.25,115.06,115.71,312657900
2011-10-10,SPY,117.68,119.63,117.67,119.58,230666207
2011-10-11,SPY,118.87,120.04,118.75,119.70,209087953
2011-10-12,SPY,120.60,122.14,120.33,120.75,281544827
2011-10-13,SPY,120.04,120.87,119.12,120.51,212538802
2011-10-14,SPY,121.91,122.60,121.23,122.57,211397567
2011-10-17,SPY,121.99,122.55,119.93,120.23,202311559
2011-10-19,SPY,122.38,123.08,120.71,121.13,226601263
2011-10-20,SPY,121.43,122.10,119.82,121.66,262075598
2011-10-21,SPY,123.09,124.12,122.72,123.97,278999360
2011-10-24,SPY,124.17,125.80,124.06,125.49,203215563
2011-10-25,SPY,124.89,124.95,122.78,123.05,268596749
2011-10-26,SPY,124.35,124.77,122.21,124.30,289053783
2011-10-27,SPY,127.63,129.42,124.32,127.43,393288897
2011-10-28,SPY,128.00,128.85,127.80,128.60,225906497
2011-10-31,SPY,127.16,128.62,125.32,125.50,228146632
2011-11-01,SPY,122.03,123.51,121.52,122.00,416565738
2011-11-02,SPY,123.83,124.40,122.79,123.99,245529375
2011-11-03,SPY,125.27,126.50,123.60,126.25,291174800
2011-11-04,SPY,125.23,125.70,124.01,125.48,249401512
2011-11-07,SPY,125.39,126.39,124.20,126.26,196617175
2011-11-08,SPY,126.92,128.02,125.71,127.88,224426217
2011-11-09,SPY,124.89,125.80,122.86,123.16,337981970
2011-11-10,SPY,124.79,124.94,123.02,124.32,231866470
2011-11-11,SPY,125.83,126.99,125.79,126.66,189924327
2011-11-14,SPY,126.19,127.45,124.92,125.46,159258229
2011-11-15,SPY,125.17,126.75,124.72,126.08,184709388
2011-11-16,SPY,124.81,126.34,123.90,124.08,235782466
2011-11-17,SPY,123.85,124.16,121.23,122.11,331219799
2011-11-18,SPY,122.50,122.75,121.47,121.98,215580353
2011-11-21,SPY,120.20,120.35,118.65,119.66,229611599
2011-11-22,SPY,119.40,120.10,118.52,119.19,216494841
2011-11-23,SPY,118.07,119.19,116.56,116.56,224531653
2011-11-25,SPY,116.38,117.70,116.20,116.34,99556980
2011-11-28,SPY,119.54,120.18,118.82,119.71,210686012
2011-11-29,SPY,120.05,121.00,119.61,120.05,199241491
2011-11-30,SPY,123.49,125.22,120.00,124.99,324439457
2011-12-01,SPY,124.85,125.64,124.43,124.97,176954756
2011-12-02,SPY,126.12,126.50,124.78,124.86,221109692
2011-12-05,SPY,126.84,127.18,125.44,126.22,225263845
2011-12-06,SPY,126.21,127.11,125.76,126.26,178842040
2011-12-07,SPY,125.84,127.26,124.97,126.73,237802476
2011-12-08,SPY,125.90,126.18,123.65,123.95,240862724
2011-12-09,SPY,124.51,126.37,124.40,126.05,209111336
2011-12-12,SPY,124.95,124.97,123.16,124.21,215826054
2011-12-13,SPY,124.86,125.57,122.45,123.05,245159708
2011-12-14,SPY,122.56,123.03,121.47,121.74,238618786
2011-12-15,SPY,123.03,123.20,121.99,122.19,199109123
2011-12-16,SPY,122.23,122.95,121.30,121.59,220481303
2011-12-19,SPY,122.06,122.32,120.03,120.29,183902965
2011-12-20,SPY,122.18,124.14,120.37,123.93,225418075
2011-12-21,SPY,123.93,124.36,122.75,124.17,194230879
2011-12-22,SPY,124.63,125.40,124.23,125.27,119465303
2011-12-23,SPY,125.67,126.43,125.41,126.39,92187159
2011-12-27,SPY,126.17,126.82,126.06,126.49,86075701
2011-12-28,SPY,126.51,126.53,124.73,124.83,119107005
2011-12-29,SPY,125.24,126.25,124.86,126.12,123507123
2011-12-30,SPY,126.02,126.33,125.50,125.50,95598996
2012-01-03,SPY,127.76,128.38,127.43,127.50,193697825
2012-01-04,SPY,127.20,127.81,126.71,127.70,127186456
2012-01-05,SPY,127.01,128.23,126.43,128.04,173894933
2012-01-06,SPY,128.20,128.22,127.29,127.71,148049929
2012-01-09,SPY,128.00,128.18,127.41,128.02,99530109
2012-01-10,SPY,129.39,129.65,128.95,129.13,115281921
2012-01-11,SPY,128.73,129.37,128.52,129.20,111540673
2012-01-12,SPY,129.57,129.70,128.54,129.51,118983646
2012-01-13,SPY,128.64,129.05,127.72,128.84,179836140
2012-01-17,SPY,130.08,130.32,128.90,129.34,132209191
2012-01-18,SPY,129.31,130.84,129.08,130.77,163395122
2012-01-19,SPY,131.22,131.57,130.80,131.46,126328814
2012-01-20,SPY,131.24,131.95,130.92,131.54,138230146
2012-01-23,SPY,131.51,132.25,130.98,131.61,129295759
2012-01-24,SPY,130.80,131.50,130.60,131.46,103083260
2012-01-25,SPY,131.26,132.87,130.75,132.56,198613161
2012-01-26,SPY,133.15,133.40,131.36,131.88,184880478
2012-01-27,SPY,131.24,132.05,131.15,131.82,135259033
2012-01-30,SPY,130.51,131.44,130.06,131.37,147311730
2012-01-31,SPY,132.02,132.18,130.68,131.32,157211918
2012-02-01,SPY,132.29,133.14,132.13,132.47,166234457
2012-02-02,SPY,132.73,133.02,132.21,132.68,113090345
2012-02-03,SPY,134.00,134.62,133.77,134.54,160598487
2012-02-06,SPY,133.98,134.51,133.83,134.45,107694459
2012-02-07,SPY,134.17,135.02,133.64,134.79,135528071
2012-02-08,SPY,134.86,135.22,134.31,135.19,139361385
2012-02-09,SPY,135.41,135.59,134.56,135.36,148602826
2012-02-10,SPY,134.16,134.47,133.84,134.36,167907482
2012-02-13,SPY,135.32,135.52,134.74,135.36,115841819
2012-02-14,SPY,135.00,135.27,134.25,135.19,165996154
2012-02-15,SPY,135.63,135.83,134.29,134.56,195195094
2012-02-16,SPY,134.57,136.17,134.33,136.05,186567742
2012-02-17,SPY,136.52,136.63,135.96,136.41,129869401
2012-02-21,SPY,136.73,137.05,136.05,136.47,134042271
2012-02-22,SPY,136.26,136.55,135.79,136.03,124455245
2012-02-23,SPY,135.96,136.73,135.50,136.63,137704236
2012-02-24,SPY,136.93,137.20,136.63,136.93,105539083
2012-02-27,SPY,136.02,137.53,135.80,137.16,145728833
2012-02-28,SPY,137.20,137.72,136.93,137.56,129355808
2012-02-29,SPY,137.76,138.19,136.54,137.02,185934689
2012-03-01,SPY,137.31,137.99,136.93,137.73,145026117
2012-03-02,SPY,137.64,137.82,137.00,137.31,120638224
2012-03-05,SPY,137.10,137.20,136.28,136.75,140764992
2012-03-06,SPY,135.35,135.43,134.36,134.75,202129838
2012-03-07,SPY,135.06,135.91,134.93,135.69,143692128
2012-03-08,SPY,136.52,137.32,136.24,137.04,116968812
2012-03-09,SPY,137.30,137.93,137.13,137.57,122836765
2012-03-12,SPY,137.55,137.76,137.09,137.58,104003471
2012-03-13,SPY,138.32,140.13,138.09,140.06,184090417
2012-03-14,SPY,140.10,140.45,139.48,139.91,145163502
2012-03-15,SPY,140.12,140.78,139.76,140.72,165118448
2012-03-16,SPY,140.36,140.48,140.00,140.30,152893405
2012-03-19,SPY,140.21,141.28,140.11,140.85,125291026
2012-03-20,SPY,140.05,140.61,139.64,140.44,121729639
2012-03-21,SPY,140.52,140.65,139.92,140.21,122388401
2012-03-22,SPY,139.18,139.55,138.74,139.20,135216691
2012-03-23,SPY,139.32,139.81,138.55,139.65,120520956
2012-03-26,SPY,140.65,141.61,140.60,141.61,120163949
2012-03-27,SPY,141.74,141.83,141.08,141.17,119868421
2012-03-28,SPY,141.10,141.32,139.64,140.47,148562025
2012-03-29,SPY,139.64,140.49,139.09,140.23,164963645
2012-03-30,SPY,140.92,141.05,140.05,140.81,135486715
2012-04-02,SPY,140.64,142.21,140.36,141.84,151741045
2012-04-03,SPY,141.64,141.88,140.43,141.26,155806609
2012-04-04,SPY,140.22,140.34,139.34,139.86,146895936
2012-04-05,SPY,139.38,140.20,139.26,139.79,137439344
2012-04-09,SPY,138.03,139.84,137.84,138.22,127555857
2012-04-10,SPY,137.95,138.34,135.76,135.90,235360256
2012-04-11,SPY,137.29,137.54,136.75,137.00,154132907
2012-04-12,SPY,137.13,138.90,137.03,138.79,154321489
2012-04-13,SPY,138.47,138.82,137.01,137.14,169246612
2012-04-16,SPY,137.84,138.04,136.58,137.05,147825217
2012-04-17,SPY,137.84,139.36,137.70,139.08,147877575
2012-04-18,SPY,138.46,139.08,138.38,138.61,123884187
2012-04-19,SPY,138.63,139.15,137.07,137.72,198666751
2012-04-20,SPY,138.33,138.83,137.87,137.95,143199560
2012-04-23,SPY,136.54,136.91,135.94,136.79,171735339
2012-04-24,SPY,136.91,137.66,136.80,137.31,137484192
2012-04-25,SPY,138.65,139.25,138.53,139.19,150254995
2012-04-26,SPY,138.89,140.32,138.81,140.16,136292712
2012-04-27,SPY,140.58,140.79,139.80,140.39,123982135
2012-04-30,SPY,140.11,140.21,139.49,139.87,115092198
2012-05-01,SPY,139.79,141.66,139.63,140.74,138837314
2012-05-02,SPY,139.92,140.46,139.46,140.33,121080935
2012-05-03,SPY,140.34,140.45,138.99,139.25,143762703
2012-05-04,SPY,138.52,139.30,136.92,137.00,193931300
2012-05-07,SPY,136.51,137.56,136.46,137.10,127765875
2012-05-08,SPY,136.28,136.77,134.92,136.55,213383873
2012-05-09,SPY,135.10,136.61,134.49,135.74,220778190
2012-05-10,SPY,136.68,136.85,135.71,136.02,150600916
2012-05-11,SPY,135.17,136.87,135.11,135.61,153032360
2012-05-14,SPY,134.31,135.61,133.91,134.11,163909908
2012-05-15,SPY,134.02,134.81,133.13,133.34,207629260
2012-05-16,SPY,133.94,134.55,132.80,132.83,207265560
2012-05-17,SPY,132.86,133.02,130.79,130.86,247992908
2012-05-18,SPY,131.37,131.60,129.55,129.74,319631058
2012-05-21,SPY,130.16,132.02,129.95,131.97,177861071
2012-05-22,SPY,132.31,133.23,131.34,132.20,197531138
2012-05-23,SPY,131.25,132.46,129.99,132.27,204958303
2012-05-24,SPY,132.63,132.84,131.42,132.53,167357599
2012-05-25,SPY,132.48,132.85,131.78,132.10,135465568
2012-05-29,SPY,133.16,133.93,131.17,133.70,152883408
2012-05-30,SPY,132.56,133.69,131.49,131.76,162370365
2012-05-31,SPY,131.71,132.45,130.34,131.47,196186175
2012-06-01,SPY,129.41,131.50,128.16,128.16,253244993
2012-06-04,SPY,128.39,128.74,127.14,128.10,202548253
2012-06-05,SPY,127.85,129.26,127.78,129.07,164149384
2012-06-06,SPY,129.97,132.03,129.93,131.97,184202757
2012-06-07,SPY,133.47,133.53,131.78,132.05,184772672
2012-06-08,SPY,131.71,133.13,131.29,133.10,143915630
2012-06-11,SPY,134.17,134.25,131.28,131.42,169756044
2012-06-12,SPY,131.79,133.01,131.16,132.92,181931736
2012-06-13,SPY,132.53,133.36,131.62,132.07,172223884
2012-06-14,SPY,132.34,134.00,131.98,133.47,230616235
2012-06-15,SPY,133.38,134.26,133.10,134.14,169444421
2012-06-18,SPY,133.58,134.73,133.28,134.40,131365459
2012-06-19,SPY,135.08,136.25,134.37,135.70,137382532
2012-06-20,SPY,135.71,136.10,134.27,135.48,206466600
2012-06-21,SPY,135.64,135.78,132.33,132.44,205272317
2012-06-22,SPY,133.13,133.71,132.62,133.46,130029174
2012-06-25,SPY,132.05,132.10,130.85,131.32,146375688
2012-06-26,SPY,131.70,132.38,130.93,131.98,141633945
2012-06-27,SPY,132.42,133.43,131.97,133.17,108087938
2012-06-28,SPY,132.29,132.99,131.28,132.79,169242658
2012-06-29,SPY,135.20,136.27,134.85,136.11,212251060
2012-07-02,SPY,136.48,136.65,135.52,136.51,129524407
2012-07-03,SPY,136.48,137.51,136.34,137.41,80450171
2012-07-05,SPY,136.90,137.80,136.29,136.79,126177419
2012-07-06,SPY,135.47,135.77,134.85,135.49,151192025
2012-07-09,SPY,135.38,135.57,134.70,135.32,103780468
2012-07-10,SPY,136.01,136.23,133.68,134.14,167884796
2012-07-11,SPY,134.21,134.60,133.38,134.16,141734024
2012-07-12,SPY,133.38,134.23,132.60,133.51,143583154
