date,expiration,strike,call_put,opt_close_price,udl_close_price
2024-07-01,2024-07-15,537.0,Call,10.809999999999999,545.34
2024-07-01,2024-07-15,537.0,Put,1.275,545.34
2024-07-01,2024-07-15,545.0,Call,4.859999999999999,545.34
2024-07-01,2024-07-15,545.0,Put,3.36,545.34
2024-07-01,2024-07-15,556.0,Call,0.69,545.34
2024-07-01,2024-07-15,556.0,Put,10.67,545.34
2024-07-01,2024-07-15,557.0,Call,0.545,545.34
2024-07-01,2024-07-15,557.0,Put,11.665,545.34
2024-07-01,2024-07-31,380.0,Call,167.28,545.34
2024-07-01,2024-07-31,380.0,Put,0.045,545.34
2024-07-01,2024-07-31,395.0,Call,152.36,545.34
2024-07-01,2024-07-31,395.0,Put,0.055,545.34
2024-07-01,2024-07-31,410.0,Call,137.445,545.34
2024-07-01,2024-07-31,410.0,Put,0.065,545.34
2024-07-01,2024-07-31,425.0,Call,122.535,545.34
2024-07-01,2024-07-31,425.0,Put,0.08499999999999999,545.34
2024-07-01,2024-07-31,435.0,Call,112.595,545.34
2024-07-01,2024-07-31,435.0,Put,0.10500000000000001,545.34
2024-07-01,2024-07-31,450.0,Call,97.69,545.34
2024-07-01,2024-07-31,450.0,Put,0.125,545.34
2024-07-01,2024-07-31,464.0,Call,83.805,545.34
2024-07-01,2024-07-31,464.0,Put,0.165,545.34
2024-07-01,2024-07-31,477.0,Call,70.91499999999999,545.34
2024-07-01,2024-07-31,477.0,Put,0.215,545.34
2024-07-01,2024-07-31,491.0,Call,57.07,545.34
2024-07-01,2024-07-31,491.0,Put,0.305,545.34
2024-07-01,2024-07-31,502.0,Call,46.255,545.34
2024-07-01,2024-07-31,502.0,Put,0.435,545.34
2024-07-01,2024-07-31,513.0,Call,35.540000000000006,545.34
2024-07-01,2024-07-31,513.0,Put,0.705,545.34
2024-07-01,2024-07-31,524.0,Call,25.145,545.34
2024-07-01,2024-07-31,524.0,Put,1.275,545.34
2024-07-01,2024-07-31,534.0,Call,16.33,545.34
2024-07-01,2024-07-31,534.0,Put,2.425,545.34
2024-07-01,2024-07-31,545.0,Call,8.075,545.34
2024-07-01,2024-07-31,545.0,Put,5.23,545.34
2024-07-01,2024-07-31,556.0,Call,2.6500000000000004,545.34
2024-07-01,2024-07-31,556.0,Put,11.24,545.34
2024-07-01,2024-07-31,567.0,Call,0.53,545.34
2024-07-01,2024-07-31,567.0,Put,21.66,545.34
2024-07-01,2024-07-31,580.0,Call,0.07500000000000001,545.34
2024-07-01,2024-07-31,580.0,Put,34.66,545.34
2024-07-01,2024-07-31,590.0,Call,0.035,545.34
2024-07-01,2024-07-31,590.0,Put,44.655,545.34
2024-07-01,2024-07-31,600.0,Call,0.025,545.34
2024-07-01,2024-07-31,600.0,Put,54.665000000000006,545.34
2024-07-01,2024-07-31,615.0,Call,0.015,545.34
2024-07-01,2024-07-31,615.0,Put,69.66999999999999,545.34
